education_id,EdLevel,candidate_id
345,NoHigherEd,345
346,Undergraduate,346
347,NoHigherEd,347
348,Undergraduate,348
349,Other,349
350,Other,350
351,Undergraduate,351
352,Other,352
353,NoHigherEd,353
354,Master,354
355,Master,355
356,Master,356
357,Master,357
358,Undergraduate,358
359,Other,359
360,Other,360
361,Undergraduate,361
362,NoHigherEd,362
363,Master,363
364,Other,364
365,Master,365
366,Undergraduate,366
367,NoHigherEd,367
368,Other,368
369,Master,369
370,Other,370
371,Undergraduate,371
372,Master,372
373,Undergraduate,373
374,Master,374
375,Undergraduate,375
376,Undergraduate,376
377,Undergraduate,377
378,Other,378
379,Undergraduate,379
380,Undergraduate,380
381,Master,381
382,Undergraduate,382
383,Other,383
384,Master,384
385,Master,385
386,Undergraduate,386
387,PhD,387
388,Master,388
389,Undergraduate,389
390,Master,390
391,Undergraduate,391
392,Undergraduate,392
393,Undergraduate,393
394,Master,394
395,Undergraduate,395
396,Master,396
397,Other,397
398,Undergraduate,398
399,Undergraduate,399
400,Master,400
401,Other,401
402,Undergraduate,402
403,Undergraduate,403
404,Master,404
405,Other,405
406,Other,406
407,NoHigherEd,407
408,Master,408
409,PhD,409
410,Undergraduate,410
411,Undergraduate,411
412,Master,412
413,Undergraduate,413
414,Other,414
415,NoHigherEd,415
416,Undergraduate,416
417,Undergraduate,417
418,Master,418
419,Undergraduate,419
420,Undergraduate,420
421,Master,421
422,Undergraduate,422
423,PhD,423
424,Undergraduate,424
425,NoHigherEd,425
426,Master,426
427,Master,427
428,Undergraduate,428
429,Other,429
430,Master,430
431,Master,431
432,Undergraduate,432
433,Other,433
434,Master,434
435,Undergraduate,435
436,Other,436
437,Undergraduate,437
438,Undergraduate,438
439,Other,439
440,Master,440
441,Master,441
442,Undergraduate,442
443,PhD,443
444,NoHigherEd,444
445,Other,445
446,Master,446
447,Master,447
448,Undergraduate,448
449,NoHigherEd,449
450,Undergraduate,450
451,Master,451
452,Undergraduate,452
453,NoHigherEd,453
454,Undergraduate,454
455,Undergraduate,455
456,Master,456
457,Undergraduate,457
458,Master,458
459,Undergraduate,459
460,Undergraduate,460
461,Other,461
462,Master,462
463,Undergraduate,463
464,Master,464
465,Master,465
466,Master,466
467,Undergraduate,467
468,Undergraduate,468
469,Undergraduate,469
470,Undergraduate,470
471,Master,471
472,Master,472
473,Master,473
474,Master,474
475,Master,475
476,Master,476
477,Undergraduate,477
478,PhD,478
479,Undergraduate,479
480,Other,480
481,Other,481
482,Undergraduate,482
483,Master,483
484,Undergraduate,484
485,Undergraduate,485
486,Undergraduate,486
487,Undergraduate,487
488,Other,488
489,Other,489
490,Undergraduate,490
491,Master,491
492,NoHigherEd,492
493,Undergraduate,493
494,Undergraduate,494
495,Master,495
496,Undergraduate,496
497,Undergraduate,497
498,Master,498
499,Master,499
500,Undergraduate,500
501,Master,501
502,Master,502
503,NoHigherEd,503
504,Undergraduate,504
505,Master,505
506,Undergraduate,506
507,Undergraduate,507
508,Other,508
509,Other,509
510,Other,510
511,Other,511
512,Master,512
513,Master,513
514,Master,514
515,Master,515
516,Master,516
517,NoHigherEd,517
518,Undergraduate,518
519,Master,519
520,Undergraduate,520
521,Other,521
522,Undergraduate,522
523,Undergraduate,523
524,Undergraduate,524
525,Undergraduate,525
526,Undergraduate,526
527,Master,527
528,Undergraduate,528
529,Other,529
530,Undergraduate,530
531,Other,531
532,Undergraduate,532
533,Undergraduate,533
534,Undergraduate,534
535,Undergraduate,535
536,Other,536
537,Undergraduate,537
538,Undergraduate,538
539,Undergraduate,539
540,Undergraduate,540
541,Undergraduate,541
542,NoHigherEd,542
543,Other,543
544,Master,544
545,Master,545
546,Undergraduate,546
547,Other,547
548,Master,548
549,Other,549
550,Master,550
551,Other,551
552,Undergraduate,552
553,Undergraduate,553
554,Undergraduate,554
555,Master,555
556,Master,556
557,Master,557
558,Other,558
559,PhD,559
560,Master,560
561,Undergraduate,561
562,NoHigherEd,562
563,Undergraduate,563
564,Undergraduate,564
565,Undergraduate,565
566,Other,566
567,Other,567
568,Master,568
569,Undergraduate,569
570,Undergraduate,570
571,Master,571
572,Undergraduate,572
573,Undergraduate,573
574,PhD,574
575,Undergraduate,575
576,Undergraduate,576
577,Undergraduate,577
578,Undergraduate,578
579,Master,579
580,Master,580
581,Undergraduate,581
582,Other,582
583,Master,583
584,Master,584
585,Undergraduate,585
586,Other,586
587,Undergraduate,587
588,Master,588
589,Master,589
590,Undergraduate,590
591,Undergraduate,591
592,Undergraduate,592
593,NoHigherEd,593
594,Undergraduate,594
595,Undergraduate,595
596,Undergraduate,596
597,Other,597
598,Undergraduate,598
599,PhD,599
600,Master,600
601,Master,601
602,Undergraduate,602
603,Master,603
604,Undergraduate,604
605,Other,605
606,Undergraduate,606
607,Undergraduate,607
608,PhD,608
609,Undergraduate,609
610,Other,610
611,NoHigherEd,611
612,Other,612
613,Undergraduate,613
614,NoHigherEd,614
615,Undergraduate,615
616,Undergraduate,616
617,PhD,617
618,Undergraduate,618
619,Master,619
620,Master,620
621,Undergraduate,621
